source_dataset‡references‡liens.donnees‡inspire.file_identifier‡language‡name‡modified‡dcat.created‡dcat.accessRights‡title‡inspire.contact_individual_name‡publisher‡description‡keyword‡inspire.type‡donnees‡license‡license_url‡Language‡inspire.extend_bounding_box_westbound_longitude‡inspire.extend_bounding_box_eastbound_longitude‡inspire.extend_bounding_box_northbound_latitude‡inspire.extend_bounding_box_southbound_latitude‡dcat.temporal
https://doi.org/10.57745/OYZYXU‡https://doi.org/10.57745/OYZYXU‡https://doi.org/10.57745/OYZYXU‡univ-strasbourg://10.57745/OYZYXU‡‡doi:10.57745/OYZYXU‡2023-01-17T08:05:18Z‡2022-10-11T06:33:13Z‡‡Questions Parlementaires Travail Détaché‡Michon, Sebastien‡Michon, Sebastien‡"<a href=""https://doi.org/10.57745/OYZYXU"" target=""_blank"">Lien vers les données</a><br>La base de données rassemble les questions posées à l’Assemblée nationale sur le travail détaché au cours de la 14e législature (jusqu’en juin 2017). Les données ont été aspirées de manière automatique depuis le site de l’Assemblée, puis vérifiées et triées « à la main ». La base rassemble 481 questions parlementaires.  The database gathers the questions asked in the French National Assembly on posting of workers during the 14th legislature (June 2012-June 2017). The data was automatically retrieved from the Assembly's website and then checked and sorted by hand. The database contains 481 parliamentary questions."‡Questions parlementaires; UBO‡Dataset‡"<a href=""https://doi.org/10.57745/OYZYXU/BSVAPK"" target=""_blank"">Base_QuestionsParlementaires_TravailDetache.tab</a><br><a href=""https://doi.org/10.57745/OYZYXU/AUY4J6"" target=""_blank"">DescriptionQuestionsParlementaire_TravailDetache.tab</a>"‡etalab 2.0‡https://spdx.org/licenses/etalab-2.0.html‡‡‡‡‡‡
https://doi.org/10.15454/UDQLGE‡https://doi.org/10.15454/UDQLGE‡https://doi.org/10.15454/UDQLGE‡inrae://10.15454/UDQLGE‡‡doi:10.15454/UDQLGE‡2020-04-10T13:10:59Z‡2020-04-10T13:10:00Z‡‡"Replication Data for ""Large-scale multivariate dataset on the characterization of microbiota diversity, microbial growth dynamics, metabolic spoilage volatilome and sensorial profiles of two industrially produced meat products subjected to changes in lactate concentration and packaging atmosphere"""‡Loux, Valentin‡Poirier, Simon‡"<a href=""https://doi.org/10.15454/UDQLGE"" target=""_blank"">Lien vers les données</a><br>Data provide detailed information on the diversity of bacterial communities present on 576 samples of raw pork or poultry sausages produced industrially in 2017.  Bacterial growth dynamics and diversity were monitored throughout the refrigerated storage period to estimate the impact of packaging atmosphere and the use of potassium lactate as chemical preservative. The data include several types of analysis aiming at providing a comprehensive microbial ecology of spoilage during storage and how the process parameters do influence this phenomenon. The analysis includes: the gas content in packaging, pH, chromametric measurements, plate counts (total mesophilic aerobic flora and lactic acid bacteria), sensorial properties of the products, meta-metabolomic quantification of volatile organic compounds and bacterial community metagenetic analysis. Bacterial diversity was monitored using two types of amplicon sequencing (16S rRNA and GyrB encoding genes) at different time points for the different conditions (576 samples for gyrB and 436 samples for 16S rDNA). Sequencing data were generated by using Illumina MiSeq. The sequencing data have been deposited in the bioproject PRJNA522361"‡Food Microbiota; Food and food processing; Meat Spoilage; Metabolomic; Metagenetic; Microbial Ecology; Microorganisms; Omics; UBO‡Dataset‡"<a href=""https://doi.org/10.15454/UDQLGE/EJQTCG"" target=""_blank"">RDL_TableS01_Sample_Data_V2.tab</a><br><a href=""https://doi.org/10.15454/UDQLGE/U5WZS5"" target=""_blank"">RDL_TableS02_pH_Data_V2.tab</a><br><a href=""https://doi.org/10.15454/UDQLGE/UDO965"" target=""_blank"">RDL_TableS03_Chromametry_Data_V2.tab</a><br><a href=""https://doi.org/10.15454/UDQLGE/NYNRUX"" target=""_blank"">RDL_TableS04_Gas_Composition_Data_V2.tab</a><br><a href=""https://doi.org/10.15454/UDQLGE/O6PJMZ"" target=""_blank"">RDL_TableS05_Total_mesophilic_aerobic_flora_Data_V2.tab</a><br><a href=""https://doi.org/10.15454/UDQLGE/XWSVO1"" target=""_blank"">RDL_TableS06_Lactic_acid_bacteria_Data_V2.tab</a><br><a href=""https://doi.org/10.15454/UDQLGE/EYV3HX"" target=""_blank"">RDL_TableS07_Volatilome_Data_V2.tab</a><br><a href=""https://doi.org/10.15454/UDQLGE/NA4CJ9"" target=""_blank"">RDL_TableS08_Sensorial_analysis_V2.tab</a><br><a href=""https://doi.org/10.15454/UDQLGE/W6MHRJ"" target=""_blank"">RDL_TableS09_Phyloseq_16S_metagenetic_data_V2.xlsx</a><br><a href=""https://doi.org/10.15454/UDQLGE/BF1AWY"" target=""_blank"">RDL_TableS10_Phyloseq_gyrB_metagenetic_data_V2.xlsx</a>"‡etalab 2.0‡https://spdx.org/licenses/etalab-2.0.html‡‡‡‡‡‡
https://doi.org/10.57745/J8ERW1‡https://doi.org/10.57745/J8ERW1‡https://doi.org/10.57745/J8ERW1‡espace-generique://10.57745/J8ERW1‡en‡doi:10.57745/J8ERW1‡2024-02-07T09:37:43Z‡2024-02-05T13:30:11Z‡‡Genetic diversity and population structure of Botryosphaeria dothidea and Neofusicoccum parvum on English walnut (Juglans regia L.) in France‡Pensec, Flora‡Belair, Marie‡"<a href=""https://doi.org/10.57745/J8ERW1"" target=""_blank"">Lien vers les données</a><br>Although widespread in nut orchards abroad and in other French crops such as vineyards, dieback disease has been recently reported in France on walnut trees, causing severe yield losses since 2015 onwards. The emergent nature of this disease encouraged us to explore its sources and pathways, based on a population genetic study. This dataset contains genotypes of B. dothidea and N. parvum strains collected from French walnut trees (both symptomatic and asymptomatic walnut husks and twigs; 381 strains), French vineyards (48 strains) , Spanish walnut trees and Californian walnut and almond trees (24 strains). Genotypes were obtained the microsatellite marker sequencing technology developed and implemented at the Genome Transcriptome Facility of Bordeaux. A total of 11 loci were used for B. dothidea, and 27 loci for N. parvum. The dataset also contains metadata (e.g. collection date, origin) on each strain.  For each species, the genotype tables are constructed as follow: the name of the strains (1st column); the name of the loci identified as PROJECT-SPECIES-NUMBER OF THE LOCI (1st line); and the allele for each locus coded using a three-digit number. A different code represents a different allele in terms of microsatellite repeats. An allele coded with ""0"" corresponds to a missing data."‡Botryosphaeria; Genetic diversity; Juglans regia; Microsatellite; Neofusicoccum parvum; UBO‡Dataset‡"<a href=""https://doi.org/10.57745/2G3SPE"" target=""_blank"">B-dothidea_metadata.tab</a><br><a href=""https://doi.org/10.57745/GOJA5S"" target=""_blank"">B-dothidea_SSR_genotypes.tab</a><br><a href=""https://doi.org/10.57745/M2BHSB"" target=""_blank"">N-parvum_metadata.tab</a><br><a href=""https://doi.org/10.57745/ZN6VVT"" target=""_blank"">N-parvum_SSR_genotypes.tab</a><br><a href=""https://doi.org/10.57745/ROAAMV"" target=""_blank"">ReadMe.txt</a>"‡etalab 2.0‡https://spdx.org/licenses/etalab-2.0.html‡English‡‡‡‡‡
https://doi.org/10.57745/WRDJ3N‡https://doi.org/10.57745/WRDJ3N‡https://doi.org/10.57745/WRDJ3N‡espace-generique://10.57745/WRDJ3N‡en‡doi:10.57745/WRDJ3N‡2025-11-04T12:51:26Z‡2025-10-31T11:24:47Z‡‡Participatory and multi-disciplinary science dataset and surveys for the assessment of the microbiological and behavioural factors influencing fresh fruits and vegetables' waste at home.‡Marchal, Camille‡Marchal, Camille‡"<a href=""https://doi.org/10.57745/WRDJ3N"" target=""_blank"">Lien vers les données</a><br>Adopted in September 2015 by the EU, the Sustainable Development Goal “12.3” targets to halve the per capita food waste at the retail and consumer level by 2030. Households account for 53% of food waste in Europe, more than any other actor in the food chain. Fresh fruit and vegetables (FFV) are known to constitute the higher volumes of wasted food mainly associated with microbial contamination and spoilage. The FOODREST project was financed by the French National Research Agency (ANR-20-CE21-0006). Its goal was to better understand the microbiological and behavioral aspects of FFV waste at the household level, and to propose efficient recommendations acceptable by households to reduce FFV waste. The FOODREST project aimed at i) studying microbiota associated with FFV storage facilities at home as well as identifying the predominant microorganisms and factors responsible for FFV spoilage, ii) studying consumer perceptions and practices towards spoiled products and food waste, and iii) producing a set of efficient recommendations appropriate to consumer practices by evaluating the efficacy and acceptability of hygiene recommendations aiming at reducing food waste while guaranteeing food safety and by providing a best practices handbook and risk model for better food waste management at the consumer level."‡Consumer behavior; Food science; Food waste; Fruit; Microbiology; Storage; UBO; Vegetables; participatory science‡Dataset; Text; Other‡"<a href=""https://doi.org/10.57745/K3NTYI"" target=""_blank"">Doc1a_Interview_Guide_1.docx</a><br><a href=""https://doi.org/10.57745/AENEGB"" target=""_blank"">Doc1b_Interview_Guide_2.docx</a><br><a href=""https://doi.org/10.57745/J153QU"" target=""_blank"">Doc2_Households_anonymised_interview_transcripts.docx</a><br><a href=""https://doi.org/10.57745/LX07QR"" target=""_blank"">README.txt</a><br><a href=""https://doi.org/10.57745/6STEIV"" target=""_blank"">Table10a_Survey2 _Questionnaire.docx</a><br><a href=""https://doi.org/10.57745/LXGFUQ"" target=""_blank"">Table10b_Survey2_answers.xlsx</a><br><a href=""https://doi.org/10.57745/FTWUNV"" target=""_blank"">Table10c_Survey2_Sociodemographics_descriptors.tab</a><br><a href=""https://doi.org/10.57745/F8TQWU"" target=""_blank"">Table11_Spoilage_dynamic_assays.xlsx</a><br><a href=""https://doi.org/10.57745/OQTPNA"" target=""_blank"">Table1_Nomenclature.tab</a><br><a href=""https://doi.org/10.57745/Y4PFWH"" target=""_blank"">Table2_Waste_in_g_day_household.tab</a><br><a href=""https://doi.org/10.57745/P5PPYP"" target=""_blank"">Table3a_Households_Sociodemographic_descriptors.tab</a><br><a href=""https://doi.org/10.57745/LTLVJV"" target=""_blank"">Table3b_Households_Sociodemographic_descriptors_subsample.tab</a><br><a href=""https://doi.org/10.57745/RSKHWD"" target=""_blank"">Table4a_Household_survey_questions.docx</a><br><a href=""https://doi.org/10.57745/ZMKNBC"" target=""_blank"">Table4b_Household_Survey_answers.xlsx</a><br><a href=""https://doi.org/10.57745/C8K53R"" target=""_blank"">Table5_Refrigerator_descriptors.tab</a><br><a href=""https://doi.org/10.57745/PMIPDM"" target=""_blank"">Table6_Clean_scores.xlsx</a><br><a href=""https://doi.org/10.57745/8XUUHW"" target=""_blank"">Table7_Microbial_counts.tab</a><br><a href=""https://doi.org/10.57745/IIBLWR"" target=""_blank"">Table8a_ASV_ITS_filtered.biom</a><br><a href=""https://doi.org/10.57745/86YGJG"" target=""_blank"">Table8b_ASV_16S_filtered.biom</a><br><a href=""https://doi.org/10.57745/HHPUOD"" target=""_blank"">Table9a_Survey1_Questionnaire.docx</a><br><a href=""https://doi.org/10.57745/OKEKFJ"" target=""_blank"">Table9b_Survey1_answers.tab</a><br><a href=""https://doi.org/10.57745/HGAEYS"" target=""_blank"">Table9c_Survey1_Sociodemographics_descriptors.tab</a>"‡etalab 2.0‡https://spdx.org/licenses/etalab-2.0.html‡English‡‡‡‡‡
https://doi.org/10.57745/DT3J83‡https://doi.org/10.57745/DT3J83‡https://doi.org/10.57745/DT3J83‡espace-generique://10.57745/DT3J83‡en‡doi:10.57745/DT3J83‡2026-04-14T14:04:03Z‡2026-04-08T15:56:52Z‡‡Indicateur de l'évolution des prairies permanentes humides en France hexagonale sur la période 1994-2024‡Demarquet, Quentin‡Demarquet, Quentin‡"<a href=""https://doi.org/10.57745/DT3J83"" target=""_blank"">Lien vers les données</a><br><p>L’indicateur « Surfaces en prairies humides » évalue, à l'échelle de la France hexagonale, les surfaces en prairies considérées comme permanentes au sein de l'enveloppe des milieux humides définie dans le cadre du programme national de cartographie des milieux humides. Le critère de permanence des prairies a été fixé à 5 ans minimum, une prairie devenant permanente à partir de sa sixième année. L’indicateur, d’une résolution spatiale de 30 mètres, est obtenu à partir de cartes d'occupation du sol produites annuellement par l'analyse des archives d’images satellites Landsat. Dans cette première version, l’indicateur a été calculé avec un pas de temps de six ans sur la période 1993-2024.</p>"‡France; Image satellite; UBO; milieu humide; occupation du sol; prairie humide; prairie permanente‡Dataset‡"<a href=""https://doi.org/10.57745/M8X7RY"" target=""_blank"">10_Production_cartes_prairies_permanentes_humides.R</a><br><a href=""https://doi.org/10.57745/1Y9OWT"" target=""_blank"">11A_Production_points_validation_methode_Olofsson_pph_France.R</a><br><a href=""https://doi.org/10.57745/CWSKEZ"" target=""_blank"">11C_Estimation_surfaces_precisions_non_biaisees_methode_Olofsson_pph_France.R</a><br><a href=""https://doi.org/10.57745/JNHDNN"" target=""_blank"">12_Comparaison_avec_referentiels_prairies-1.R</a><br><a href=""https://doi.org/10.57745/UC0DAV"" target=""_blank"">1_Preparation_couches_polygones_RPG_CLC.R</a><br><a href=""https://doi.org/10.57745/ELWEFV"" target=""_blank"">2_Creation_des_couches_de_reference_depuis_RPG_CLC.R</a><br><a href=""https://doi.org/10.57745/NGLHBK"" target=""_blank"">3_Creation_grille_de_pixels_depuis_tuiles_1deg.R</a><br><a href=""https://doi.org/10.57745/NX4C3R"" target=""_blank"">4_Preparation_centroides_pixels_purs.R</a><br><a href=""https://doi.org/10.57745/RZ6RA4"" target=""_blank"">5_Selection_donnees_modelisation.R</a><br><a href=""https://doi.org/10.57745/GVMRQG"" target=""_blank"">9_Evaluation_precision_cartes_occ_sol_multidates.R</a><br><a href=""https://doi.org/10.57745/YDB9FO"" target=""_blank"">Grille_1deg_Fr.gpkg</a><br><a href=""https://doi.org/10.57745/A5SC8C"" target=""_blank"">POINTS_MODELISATION.zip</a><br><a href=""https://doi.org/10.57745/YXTTFK"" target=""_blank"">prairies_permanentes_humides_France_1994_2024_L93.tif</a><br><a href=""https://doi.org/10.57745/SOB8P6"" target=""_blank"">README Indicateur prairies humides.txt</a><br><a href=""https://doi.org/10.57745/9MQPJK"" target=""_blank"">stack_Biogeoregion_Alpine_Masque_ZHMH_2154.tif</a><br><a href=""https://doi.org/10.57745/LMBGKO"" target=""_blank"">stack_Biogeoregion_Atlantique_Masque_ZHMH_2154.tif</a><br><a href=""https://doi.org/10.57745/VX0XON"" target=""_blank"">stack_Biogeoregion_Continentale_Masque_ZHMH_2154.tif</a><br><a href=""https://doi.org/10.57745/SAICEY"" target=""_blank"">stack_Biogeoregion_Mediterraneenne_Masque_ZHMH_2154.tif</a>"‡etalab 2.0‡https://spdx.org/licenses/etalab-2.0.html‡French‡‡‡‡‡Start Date: 1993-01-01 ; End Date: 2024-01-01
https://doi.org/10.23708/G7IH98‡https://doi.org/10.23708/G7IH98‡https://doi.org/10.23708/G7IH98‡ird://10.23708/G7IH98‡‡doi:10.23708/G7IH98‡2026-01-09T10:37:46Z‡2026-01-09T10:37:46Z‡‡Local names of fishing sites in a small-scale fishery in Southwest Madagascar‡‡Randriatsara, Roddy Michel‡"<a href=""https://doi.org/10.23708/G7IH98"" target=""_blank"">Lien vers les données</a><br><p>This is a dataset of 454 vernacular place names (toponyms) of fishing sites in the Bay of Toliara, Southwest Madagascar. The data was collected as part of three fish landing surveys of the coral reef fishery conducted in i) 1989-1990 in six fishing villages (Besakoa, Mahavatse 1, Mahavatse 2, Ankilibe, Sarodrano, and Saint-Augustin), ii) in 2009 in five fishing villages (Ambohitsabo, Ankiembe, Ankilibe, Sarodrano, and Saint-Augustin), and iii) in 2018-2019 in eight fishing villages (Ambohitsabo, Besakoa, Mahavatsy 2, Ankiembe bas, Mahavatsy 1, Ankiembe haut, Ankilibe, and Sarodrano).</p> <p>A total of 6,461 and 15,904 fishing trips were monitored in 2009 and 2018-2019, respectively. The name of the fishing site(s) visited during each fishing trip was recorded by the fishers on a logsheet in the Vezo language. The Vezo is one of the ethnic groups in Southwest Madagascar whose identity relies on fishing practice.</p> <p>The literal meaning of the place names is given in Malagasy, French, and English as recorded during focus group discussion in 2022 in four out of the eight villages (Ambohitsabo, Ankiembe bas, Ankilibe, and Sarodrano). The survey period (1989-1990, 2009, and/or 2018-2019) when each name was recorded was also indicated in the dataset.</p>"‡Social Sciences; UBO; Vezo; fishers' knowledge; fishing site; focus group discussion; toponym; traditional fishing; vernacular name‡‡‡‡‡English‡‡‡‡‡
